,New Weight,Old Weight,Turnover
SNT,0.0221103455167363,0.024401408773472,0.0022910632567357016
SC,0.03717103009654159,0.040229992294524,0.0030589621979824136
REP,0.023953667318107927,0.02643573468404,0.002482067365932074
RDD,0.020176620495504154,0.022267312105337,0.002090691609832846
QASH,0.011993182053346967,0.013096983215359001,0.0011038011620120337
PPT,0.019661083774310136,0.021698355719646,0.0020372719453358654
POLY,0.007946342267017197,0.008533243032819,0.0005869007658018035
OMG,0.08414528525919081,0.09286437882283301,0.0087190935636422
MANA,0.012979104354151323,0.014323992839436,0.0013448884852846777
MAID,0.0180893453842344,0.019963754561461003,0.001874409177226602
LRC,0.009801411636704631,0.010817029146978002,0.0010156175102733703
ICX,0.04096646084563036,0.045211385608605006,0.004244924762974646
GXS,0.013438380108848432,0.014830858524625002,0.0013924784157765702
GNT,0.024228792647341502,0.026739368366177,0.002510575718835499
GNO,0.004583189649865045,0.005058097533937001,0.0004749078840719555
FUN,0.013123475374171521,0.014420038080803001,0.0012965627066314801
ETHOS,0.004399110773541495,0.004769145172258,0.0003700343987165051
ENG,0.0075022029477965916,0.008279577571149001,0.0007773746233524096
DGD,0.012464015808985452,0.013751922588162001,0.0012879067791765498
CVC,0.009257768720241715,0.010217054215723,0.0009592854954812852
BNT,0.014244382422083195,0.014244177559327002,2.0486275619305272e-07
BNB,0.23661393940012845,0.17249990859598602,0.06411403080414244
BAT,0.027661483143761004,0.030527752583536003,0.002866269439774999
AE,0.03923795871235585,0.043303776924339,0.004065818211983152
ETH,New Weight,Old Weight,Turnover
ZRX,0.05342531673084249,0.057824821172917006,0.004399504442074514
ZIL,0.04168797883159518,0.044062449824707,0.0023744709931118185
VET,0.10968442075973751,0.11918784446497802,0.009503423705240502
TRX,0.22224200819121684,0.24149779633610902,0.019255788144892177
SNT,0.02070447513579861,0.022498379853052003,0.0017939047172533945
REP,0.02243059064923035,0.024374051766332002,0.0019434611171016518
QASH,0.011230604218042168,0.012075569326495,0.0008449651084528331
PPT,0.018410947935658742,0.020006133813796,0.0015951858781372598
POWR,0.009983303254635397,0.010524553110660001,0.0005412498560246042
POLY,0.007441079822269939,0.007867748330149001,0.00042666850787906156
OMG,0.0787949679540223,0.085622026538287,0.006827058584264703
MANA,0.012153837360074327,0.013206886327989002,0.0010530489679146746
LRC,0.009178195943354624,0.009973425423487,0.0007952294801323763
GNT,0.02268822233273494,0.024654005517376003,0.0019657831846410616
GNO,0.004291770839874573,0.004663624166487,0.0003718533266124273
FUN,0.012235331274226692,0.013295441146417002,0.0010601098721903096
ETHOS,0.004119396486204624,0.004397206761949,0.000277810275744376
ENG,0.007025180781494075,0.007633865853722,0.0006086850722279253
DGD,0.011668438570054172,0.012679430969354002,0.0010109923992998298
CVC,0.008669120169837678,0.009420241628609001,0.0007511214587713234
BNT,0.01333866363416114,0.013133295720715001,0.00020536791344613788
BNB,0.22156901263189546,0.159046901932499,0.06252211069939645
BAT,0.025902647678472394,0.028146939386182002,0.0022442917077096086
AION,0.014381447421362856,0.014280779692983001,0.00010066772837985516
AE,0.036743041393203085,0.039926580934736,0.003183539541532915
Total,New Weight,Old Weight,Turnover
BTC,0.4784380937599181,0.54947482652969,0.07103673276977196
XRP,0.09475815282308936,0.10788199227290801,0.013123839449818653
XLM,0.020238247975387397,0.023318587970858003,0.0030803399954706066
ETH,0.09983408506998383,0.11430542341296801,0.014471338342984183
BCH,0.03942183900029197,0.045283773461775007,0.0058619344614830385
EOS,0.022062985338903045,0.025445695022820004,0.003382709683916959
LTC,0.015094235090382295,0.017241744399367,0.0021475093089847064
ADA,0.009372340822549268,0.010809313542896002,0.0014369727203467336
DASH,0.006640408796219863,0.007597561526332001,0.0009571527301121376
ZEC,0.0027375624427811384,0.002977417690832,0.00023985524805086172
XMR,0.00798495332302697,0.009147570242188001,0.001162616919161032
ETC,0.005014208688059485,0.005730588993909,0.000716380305849515
TRX,0.00609358615470405,0.0070278583113800005,0.0009342721566759507
ONT,0.004512311440309459,0.005204141642411,0.0006918302021015413
NEO,0.005194824780025103,0.005991298322463001,0.0007964735424378973
DOGE,0.0028688811359403404,0.0032933248529120004,0.00042444371697166004
