,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
Total Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
BAT,1771258279.8181906,152793933.99998093,9.440673462765492,15279.393399998093,-2669.6334325285407,12609.759967469552
NMR,10920612.627177035,942044.0734185427,9.440673462765513,94.20440734185428,-16.45950390487244,77.74490343698184
SC,107459277358.883,9269752423.765213,9.440673462765536,926975.2423765213,-161962.19531692326,765013.0470595981
SNT,8035455093.574514,693161922.9203911,9.44067346276556,69316.19229203911,-12111.005948601789,57205.18634343732
KNC,210440345.63297397,18153201.39809212,9.440673462765513,1815.3201398092122,-317.17485171745494,1498.1452880917573
REP,12989227.385333396,1120488.8493331969,9.440673462765536,112.0488849333197,-19.577311838542634,92.47157309477706
MCO,26109973.531956546,2252322.8927361853,9.440673462765513,225.23228927361853,-39.352848230864,185.87944104275454
THETA,1180838853.212127,101862622.66665435,9.440673462765536,10186.262266665435,-1779.7556216856938,8406.506644979741
OMG,165607215.23780805,14285764.082674384,9.440673462765513,1428.5764082674384,-249.60253595098644,1178.973872316452
GAS,71398481.34716927,6159042.399947472,9.440673462765513,615.9042399947472,-107.61150703314328,508.29273296160386
RCN,1180838853.2121267,101862622.66665411,9.440673462765513,10186.262266665412,-1779.7556216856933,8406.506644979718
STEEM,432872266.2920928,36039637.783165574,9.08182321564186,3603.9637783165576,-652.4233576067658,2951.5404207097918
AE,594689865.6795864,51299691.9322412,9.440673462765536,5129.96919322412,-896.3141996248505,4233.65499359927
MAID,534391451.4123153,46098155.78829354,9.440669409433866,4609.815578829354,-805.4326695337753,3804.382909295579
IOST,14186566150.227087,1223782823.689867,9.440741180827716,122378.28236898671,-21381.93606147116,100996.34630751555
GNT,1180838853.212127,101862622.66665435,9.440673462765536,10186.262266665435,-1779.7556216856938,8406.506644979741
STORJ,501856512.61515397,43291614.63332796,9.440673462765513,4329.161463332796,-756.3961392164198,3572.7653241163766
GXC,118083885.3212127,10186262.266665414,9.440673462765513,1018.6262266665415,-177.97556216856935,840.6506644979721
FUN,12989227385.333397,1120488849.3331985,9.440673462765536,112048.88493331986,-19577.311838542635,92471.57309477722
CVC,1180838853.2121272,101862622.66665459,9.44067346276556,10186.262266665459,-1779.755621685694,8406.506644979765
MANA,1617956082.8311172,,,,-2438.5769711305024,
